,negative,positive,total
aaaaages,0,1,1
aaaaahhh,1,0,1
aaaaahhhh,0,1,1
aaaall,1,0,1
aaaand,1,0,1
aaaawww,0,1,1
aaah,0,1,1
aaajaayradd,1,0,1
aaargh,1,0,1
aaarrrrgghhhh,1,0,1
aaaww,1,0,1
aaawwww,1,0,1
aah,1,0,1
aargh,2,0,2
aaru,0,1,1
abay,0,1,1
abby,1,1,2
abc,2,1,3
abcessed,1,0,1
abdomen,1,0,1
abdul,1,0,1
aber,0,1,1
abigail,0,1,1
ability,1,0,1
abis,1,0,1
abit,3,1,4
able,25,13,38
ablt,1,0,1
abolished,0,1,1
about,213,163,376
above,0,4,4
abroad,0,1,1
absolute,2,1,3
absolutely,4,8,12
absolutley,1,0,1
absorb,0,1,1
absorbing,0,1,1
abt,5,3,8
abused,1,0,1
ac,8,0,8
acabo,0,1,1
academy,0,1,1
accent,0,1,1
accept,0,1,1
accepted,0,4,4
access,6,5,11
accessory,0,1,1
accident,1,2,3
accidentally,1,2,3
accidents,1,1,2
accom,0,1,1
accomodation,0,1,1
accompanied,1,0,1
accompanying,1,0,1
accomplished,1,0,1
accordance,1,0,1
according,2,2,4
account,11,9,20
accountant,0,3,3
accountants,0,1,1
accounting,0,2,2
accounts,0,1,1
accross,1,0,1
acct,0,1,1
accurate,0,2,2
accuse,0,1,1
accused,0,1,1
ace,1,1,2
ach,1,1,2
ache,10,1,11
aches,5,2,7
achet,1,0,1
achieved,1,0,1
achievement,0,1,1
achievements,0,1,1
achievin,1,0,1
achilles,1,0,1
aching,3,3,6
achmed,0,1,1
ack,2,0,2
ackin,0,1,1
acknowledge,0,2,2
acknowledgement,0,1,1
acland,0,1,1
acm,0,1,1
acosta,1,0,1
across,2,5,7
acting,4,2,6
action,0,3,3
actionscript,1,0,1
active,0,2,2
activist,0,1,1
activities,0,1,1
activity,0,2,2
actor,1,1,2
actress,7,0,7
actresses,1,0,1
actual,3,2,5
actually,35,32,67
actualy,0,1,1
acupuncture,1,0,1
ad,2,3,5
adam,2,1,3
adams,2,1,3
adapter,0,1,1
add,3,15,18
added,0,8,8
addict,2,3,5
addicted,1,3,4
addicting,0,7,7
addiction,1,1,2
addictive,1,3,4
addicts,0,1,1
adding,3,3,6
additions,0,1,1
additons,2,0,2
addled,0,1,1
address,4,1,5
addx,1,0,1
addy,2,0,2
adele,0,1,1
adenike,1,0,1
adik,0,1,1
adisson,0,1,1
adissonapparel,0,1,1
adium,0,1,1
adjusted,0,1,1
adjusting,0,1,1
admin,4,2,6
administrator,1,0,1
admired,2,0,2
admiring,0,1,1
admission,1,0,1
admit,3,2,5
admitted,1,0,1
adnams,0,1,1
adobe,1,1,2
adolescent,1,1,2
adorable,1,5,6
adore,2,0,2
adored,2,0,2
adrss,1,0,1
ads,1,0,1
adtech,0,1,1
adult,0,1,1
adulthood,0,1,1
adults,1,1,2
advance,0,1,1
advanced,1,2,3
advantage,0,2,2
advantages,1,0,1
adventure,2,2,4
adventures,1,1,2
advertising,0,2,2
adverts,0,2,2
advice,0,5,5
adwords,1,0,1
ae,1,0,1
aerodynamic,0,1,1
aesthetically,0,1,1
af,2,0,2
afar,0,1,1
affect,0,1,1
affected,0,1,1
affirmation,0,1,1
afford,4,1,5
afghanartistry,0,1,1
afl,0,1,1
afraid,9,4,13
african,0,1,1
after,55,44,99
afterall,0,1,1
aftermidnightproject,0,1,1
afternoon,11,12,23
afternoons,1,1,2
afterparty,0,1,1
afterwards,1,2,3
aftr,1,0,1
aftre,0,1,1
again,111,82,193
againn,0,1,1
against,6,1,7
age,18,4,22
aged,1,0,1
agen,1,1,2
agency,2,0,2
agent,0,1,1
ages,4,1,5
agghhhh,0,1,1
aggressive,0,1,1
agile,0,1,1
ago,26,14,40
agree,4,20,24
agreed,3,4,7
agrees,0,2,2
agressive,0,1,1
agua,1,0,1
ah,15,19,34
aha,2,5,7
ahah,0,1,1
ahaha,0,4,4
ahahah,1,1,2
ahahaha,0,1,1
ahahhaha,0,1,1
ahan,0,1,1
ahead,3,12,15
ahem,0,1,1
ahh,13,12,25
ahha,0,1,1
ahhaahhaha,0,1,1
ahhah,0,1,1
ahhh,6,14,20
ahhhh,4,5,9
ahhhhh,2,0,2
ahhhhhhhhhhhhh,1,0,1
ahie,1,0,1
ahm,0,1,1
ahnothing,1,0,1
ahupua,0,1,1
ai,1,2,3
aiac,1,0,1
aid,0,1,1
aided,0,1,1
aiden,0,1,1
aids,1,1,2
aiesec,0,1,1
aig,0,1,1
aight,0,2,2
aim,1,0,1
aimed,2,0,2
aiming,1,0,1
ain,1,5,6
aint,5,5,10
aintitcool,0,1,1
aior,0,1,1
aiport,0,1,1
air,10,5,15
airfiel,1,0,1
airlines,0,2,2
airplane,0,1,1
airport,3,5,8
airports,0,1,1
ais,0,1,1
aisles,0,1,1
aiya,1,0,1
aja,0,1,1
aka,1,4,5
akali,0,1,1
akimbo,1,0,1
akitas,1,0,1
ako,0,1,1
aktually,0,1,1
al,1,1,2
alabaster,2,0,2
alam,1,1,2
alameda,0,1,1
alamia,1,0,1
alan,0,1,1
alarm,1,3,4
alas,4,0,4
alaska,0,1,1
alaskaair,0,1,1
albarn,1,0,1
albert,0,1,1
album,4,8,12
albums,2,0,2
alcohol,0,1,1
alcoholic,0,2,2
ale,0,1,1
alert,2,2,4
alex,1,2,3
alexa,3,3,6
alexander,0,1,1
alfie,1,0,1
algorithmic,0,1,1
ali,1,3,4
alice,2,0,2
alicia,0,1,1
alien,2,1,3
aliens,0,1,1
alignment,1,0,1
alirght,0,1,1
alive,4,2,6
all,231,257,488
alla,1,0,1
allan,0,1,1
allegory,1,0,1
allen,0,2,2
allergic,1,0,1
allergies,2,1,3
allergy,2,1,3
alley,0,1,1
alli,0,1,1
alliance,1,0,1
alliances,0,1,1
alllergic,1,0,1
alllll,1,0,1
allllll,0,2,2
allo,0,1,1
allocation,1,0,1
allow,0,2,2
allowance,3,0,3
allowed,5,1,6
allowing,0,1,1
allways,0,1,1
almost,19,25,44
alone,21,8,29
along,2,11,13
alot,2,5,7
alpaca,0,1,1
alpha,0,1,1
alphabites,1,0,1
alr,1,0,1
alrdy,0,1,1
alread,1,0,1
already,56,38,94
alright,7,5,12
alrighty,1,1,2
alrite,0,1,1
also,18,33,51
altered,0,1,1
alternative,0,2,2
alternatively,0,1,1
although,5,7,12
alton,0,1,1
aluminum,2,0,2
alway,1,1,2
always,49,51,100
alweer,0,1,1
alwys,0,1,1
alzheimers,0,1,1
am,207,187,394
amaaazing,0,1,1
amalia,1,0,1
amanda,2,1,3
amaris,0,1,1
amaze,0,1,1
amazed,0,3,3
amazin,0,1,1
amazing,12,40,52
amazingg,0,1,1
amazinggg,1,0,1
amazingly,0,1,1
amazingness,0,1,1
amazon,1,1,2
amb,0,1,1
amber,0,2,2
amberlovely,0,2,2
ambien,0,1,1
amelia,0,1,1
amen,2,1,3
america,5,5,10
american,5,2,7
amerika,0,1,1
amidst,0,1,1
amo,1,0,1
among,2,1,3
amongst,0,1,1
amount,1,0,1
amounts,1,1,2
amozon,0,1,1
amphi,0,1,1
amritsar,0,1,1
amsterdam,0,3,3
amused,0,2,2
amusing,1,2,3
amy,1,4,5
an,119,144,263
ana,1,0,1
anah,1,0,1
anal,3,0,3
analyses,1,0,1
analysis,1,0,1
anastasia,0,2,2
anatomy,3,0,3
anchorage,1,0,1
anchorwoman,0,1,1
and,873,955,1828
andakilsa,1,0,1
andami,0,1,1
anders,0,1,1
andersen,0,1,1
anderson,1,0,1
andhika,1,0,1
andi,1,0,1
andison,0,1,1
andrea,1,0,1
andrew,0,2,2
andrewcilley,1,0,1
android,2,2,4
andy,5,1,6
aneh,0,1,1
anferney,1,0,1
ang,1,2,3
anga,1,0,1
angel,67,2,69
angeles,2,0,2
angelina,0,1,1
angels,19,1,20
anger,3,0,3
angie,1,0,1
angieruiz,1,0,1
angilena,0,1,1
angriiiii,1,0,1
angry,2,1,3
angst,1,0,1
anguish,1,0,1
angwaagee,0,1,1
anh,1,0,1
ani,0,1,1
animal,0,1,1
animals,0,2,2
animation,0,2,2
animations,0,1,1
anime,0,2,2
anithing,0,1,1
aniversary,0,1,1
ankie,0,1,1
ankle,4,0,4
ankles,2,1,3
ann,1,0,1
anna,0,2,2
annas,1,0,1
anne,1,6,7
annex,1,0,1
annie,1,1,2
anniversary,1,5,6
annnd,0,1,1
announce,1,0,1
announced,2,1,3
announcement,0,2,2
announcements,0,1,1
annoy,0,1,1
annoyed,5,0,5
annoying,9,6,15
annoyingly,1,0,1
anny,1,0,1
anonymous,0,1,1
anotha,0,1,1
anothe,1,0,1
another,61,56,117
anouk,0,1,1
anounced,1,0,1
ans,0,2,2
ansa,1,0,1
answer,8,12,20
answered,1,1,2
answering,1,1,2
answers,0,2,2
ant,1,0,1
antartica,0,1,1
anthony,0,1,1
anti,3,2,5
antibiotics,1,0,1
antisocial,1,0,1
antonio,2,0,2
anwering,0,1,1
anxiety,2,1,3
anxious,2,1,3
any,63,47,110
anybody,3,4,7
anyhow,1,1,2
anymore,30,5,35
anyone,21,26,47
anyoneeeee,1,0,1
anyplace,0,1,1
anythin,1,0,1
anything,33,18,51
anytime,2,3,5
anywat,0,1,1
anyway,10,17,27
anyways,2,4,6
anywaysss,0,1,1
anywhere,6,0,6
aol,0,1,1
aout,1,0,1
ap,1,1,2
apace,0,1,1
apache,0,2,2
apapachitos,1,0,1
aparently,1,2,3
apart,2,10,12
apartment,4,5,9
apettite,1,0,1
apfel,0,1,1
api,1,1,2
apologies,3,0,3
apologize,2,1,3
apologized,0,1,1
aporto,0,1,1
app,6,7,13
appalachaintrail,1,0,1
appalachian,1,0,1
apparent,1,0,1
apparently,19,5,24
appear,0,1,1
appearance,0,1,1
appearently,1,0,1
appearing,1,0,1
appears,2,1,3
appetite,1,0,1
appetizing,0,1,1
apple,7,4,11
applebee,1,0,1
apples,0,2,2
applesauce,1,0,1
applicants,0,1,1
application,1,3,4
applications,0,1,1
applied,1,0,1
applies,1,0,1
apply,2,1,3
applying,2,1,3
appointment,4,3,7
apprciated,0,1,1
apprecaite,0,1,1
appreciate,0,10,10
appreciated,0,2,2
appreciates,0,2,2
appreciating,0,1,1
apprentice,0,1,1
approaching,1,0,1
appropriate,0,1,1
approval,0,1,1
approved,0,2,2
approx,0,1,1
apps,1,6,7
appt,1,0,1
april,1,5,6
apt,3,1,4
aptana,0,1,1
aquarium,1,0,1
aqui,0,1,1
ar,0,1,1
arab,2,0,2
archuleta,0,1,1
arctic,0,1,1
are,209,285,494
area,5,5,10
aren,14,6,20
arena,1,0,1
arent,3,1,4
argh,3,1,4
arghhhh,1,0,1
argos,1,0,1
argue,0,1,1
argued,1,1,2
argueing,1,0,1
argument,2,0,2
arguments,0,1,1
arh,1,0,1
ari,0,1,1
aries,0,1,1
ariii,0,1,1
aritzia,1,0,1
arizona,1,1,2
ark,1,0,1
arm,5,0,5
armada,0,1,1
armed,2,0,2
armin,0,1,1
arms,2,2,4
army,2,1,3
arne,1,0,1
around,28,31,59
aroundd,1,0,1
arp,0,1,1
arrange,0,1,1
arreeyy,0,1,1
arrested,1,0,1
arrgh,1,0,1
arrivals,0,1,1
arrive,2,3,5
arrived,3,7,10
arrives,0,1,1
arrows,0,1,1
arse,1,1,2
arses,0,1,1
art,2,4,6
artfire,1,0,1
article,7,5,12
articles,0,1,1
artist,1,2,3
artistic,0,3,3
artistically,1,0,1
artwork,0,1,1
as,101,160,261
asap,2,4,6
asda,1,0,1
ash,0,1,1
ashh,1,0,1
ashies,0,1,1
ashleysays,1,0,1
ashton,0,1,1
asia,2,0,2
asiago,1,0,1
aside,3,0,3
ask,9,14,23
askars,1,0,1
askboutme,1,0,1
asked,4,6,10
asking,3,9,12
asks,3,0,3
asleeep,2,0,2
asleep,12,12,24
asmodians,1,0,1
asp,0,2,2
aspect,0,1,1
aspirations,0,1,1
aspire,1,0,1
aspired,1,0,1
ass,12,12,24
assault,1,0,1
assembly,1,0,1
asses,0,1,1
assessments,0,1,1
asshattery,0,1,1
assignment,1,1,2
assist,1,1,2
assistant,1,0,1
asssss,0,1,1
asst,0,2,2
assume,1,0,1
assured,0,1,1
assyness,1,0,1
astro,0,1,1
asu,1,0,1
aswell,3,1,4
at,408,304,712
ate,8,6,14
athens,0,1,1
ativan,0,1,1
atl,4,0,4
atlanta,3,1,4
atlantic,1,0,1
atleast,2,3,5
atm,4,1,5
atmosphere,1,2,3
atr,0,1,1
attached,1,0,1
attachments,1,0,1
attack,3,0,3
attacked,2,1,3
attackers,0,1,1
attempt,3,1,4
attempting,0,1,1
attempts,1,0,1
attend,0,1,1
attendance,0,1,1
attendent,1,0,1
attending,0,2,2
attention,4,5,9
attitude,2,1,3
attn,1,0,1
attraction,0,1,1
attractive,1,2,3
atwood,0,1,1
au,1,1,2
aubrey,1,1,2
auction,1,1,2
auctionrebel,1,0,1
audience,0,1,1
audio,2,3,5
audited,1,1,2
audition,3,1,4
auditions,0,1,1
audrey,1,2,3
audrina,0,1,1
auf,0,2,2
augh,1,0,1
august,5,2,7
augusto,1,0,1
aunt,4,1,5
auntie,0,1,1
aur,1,0,1
aus,1,4,5
ausserdem,1,0,1
aussie,0,2,2
aussies,0,1,1
austin,4,2,6
australia,2,3,5
australian,0,1,1
austria,1,0,1
austrian,0,2,2
authentic,2,0,2
authorities,1,0,1
auto,2,3,5
autobot,1,0,1
autograph,1,0,1
automated,0,1,1
automatically,1,1,2
automation,0,1,1
autumnal,0,1,1
auxillo,1,0,1
ava,0,1,1
avaible,1,0,1
avail,1,0,1
available,9,4,13
avalon,0,1,1
avatar,0,9,9
avatars,0,1,1
avenue,1,1,2
average,1,3,4
avi,1,0,1
avin,1,0,1
avion,0,3,3
avocardo,0,1,1
avoid,3,0,3
avoiding,3,0,3
avvie,0,1,1
aw,24,8,32
awake,7,18,25
awakened,1,0,1
awakenings,1,0,1
award,0,1,1
awards,2,3,5
aware,1,1,2
awareness,0,1,1
away,116,22,138
awe,2,2,4
aweosme,0,1,1
awesome,18,74,92
awesomee,0,1,1
awesomely,0,1,1
awesomeness,0,2,2
awesomesauce,0,1,1
awful,14,1,15
awfully,1,0,1
awh,4,0,4
awhile,4,2,6
awhing,0,1,1
awhogetsimpregnatedbyevilcult,1,0,1
awkward,1,0,1
awman,1,0,1
awsome,0,2,2
aww,42,14,56
awwh,0,1,1
awww,23,15,38
awwwh,1,0,1
awwwl,1,0,1
awwww,9,2,11
awwwww,5,2,7
awwwwwh,1,0,1
awwwwwwwww,1,0,1
awwwwwwwwwwwwwwwh,1,0,1
axe,0,1,1
axel,0,1,1
axn,1,0,1
ay,1,0,1
aye,1,2,3
ayo,1,0,1
ayyye,1,0,1
az,1,0,1
ba,2,2,4
baaaaack,0,1,1
baaaaad,1,0,1
baaack,0,1,1
baawwnggggg,0,1,1
babae,0,1,1
babble,0,1,1
babe,3,5,8
babes,1,1,2
babies,0,4,4
babiiesss,0,1,1
babiii,1,0,1
babs,0,1,1
baby,32,32,64
babycakes,0,1,1
babyfeet,1,0,1
babygirl,1,0,1
babyknightowl,0,1,1
babylon,1,0,1
babysat,1,0,1
babysit,1,0,1
babysitting,3,0,3
bac,1,1,2
back,178,131,309
background,4,7,11
backing,1,1,2
backpack,1,0,1
backpacking,0,1,1
backs,0,1,1
backstreet,2,0,2
backup,1,3,4
backups,1,1,2
backwards,1,0,1
backyard,1,0,1
bacn,0,1,1
bacon,2,4,6
baconator,1,0,1
bacteria,1,0,1
bacterial,1,0,1
bad,117,46,163
badass,1,1,2
badd,1,0,1
badddd,1,0,1
badges,0,1,1
badly,7,0,7
badminton,1,0,1
badu,0,1,1
bag,5,6,11
bagay,0,1,1
bagel,2,0,2
bagelled,1,0,1
baghhh,1,0,1
bagle,1,0,1
bags,1,2,3
bagsak,1,0,1
bah,6,1,7
baha,0,1,1
bahamas,1,0,1
bailey,1,0,1
baited,0,1,1
baja,1,0,1
bak,4,1,5
bake,1,3,4
baked,1,2,3
bakee,0,1,1
baker,1,1,2
bakeries,0,1,1
bakery,0,1,1
baking,1,4,5
bakula,0,1,1
bal,0,1,1
bala,0,1,1
balance,0,1,1
balcony,1,2,3
bales,1,0,1
balik,0,1,1
ball,3,4,7
balls,2,2,4
baltacha,1,0,1
bam,0,2,2
bamboo,1,0,1
ban,0,1,1
banana,2,4,6
bananas,1,1,2
band,3,10,13
bandage,1,0,1
bandaid,1,0,1
bands,2,1,3
bandung,1,0,1
bandwagon,0,1,1
bandwidth,1,0,1
bangalore,1,0,1
banged,1,0,1
banggggg,0,1,1
banging,1,0,1
bangs,1,0,1
banj,1,0,1
banjo,1,0,1
bank,7,5,12
banking,0,2,2
banned,2,2,4
banner,0,2,2
banos,0,1,1
bansal,0,1,1
baphomet,1,0,1
bar,4,9,13
barbara,2,0,2
barbecue,0,2,2
barber,0,1,1
barcelona,1,1,2
barcode,0,1,1
bare,1,0,1
barefoot,0,2,2
barely,8,1,9
bargaining,0,1,1
bargains,0,1,1
barista,1,0,1
bark,0,1,1
barking,0,1,1
barrie,2,0,2
barrymore,1,0,1
bars,2,1,3
bart,0,1,1
bartledoo,1,0,1
baru,0,1,1
base,1,1,2
baseball,1,4,5
based,2,4,6
basement,1,0,1
bash,0,1,1
bashing,1,0,1
basic,3,5,8
basically,1,0,1
basij,1,0,1
basis,0,1,1
basketball,2,0,2
bass,4,1,5
bastard,1,0,1
bastards,1,0,1
bastian,1,0,1
bat,1,0,1
bata,0,1,1
bataan,1,0,1
batch,1,2,3
bath,2,4,6
bathing,2,0,2
bathroom,1,3,4
baths,0,1,1
bathtub,0,1,1
batt,1,0,1
batter,1,1,2
battery,2,1,3
batting,0,1,1
battle,23,2,25
battled,1,0,1
battlefield,0,1,1
battling,1,0,1
batts,1,0,1
baumarkt,0,2,2
bawling,1,0,1
bay,1,3,4
bazaar,0,2,2
bazbiz,0,1,1
bb,4,2,6
bbbboooorrrriiinnnggg,1,0,1
bbc,3,2,5
bbm,1,0,1
bbq,1,1,2
bbs,1,0,1
bby,1,1,2
bbyboyyyy,0,1,1
bbz,1,0,1
bc,9,2,11
bcoz,1,0,1
bcum,1,0,1
bcuz,1,0,1
bd,1,1,2
bday,7,7,14
be,360,340,700
bea,1,0,1
beach,23,13,36
beachbar,0,1,1
beacon,0,1,1
beads,1,0,1
beagle,1,0,1
bean,0,1,1
beanie,0,1,1
beans,0,2,2
bear,1,2,3
beard,1,0,1
bears,0,2,2
beast,0,1,1
beat,5,8,13
beaten,0,1,1
beatles,0,1,1
beats,0,2,2
beauties,1,0,1
beautiful,34,26,60
beautifull,1,0,1
beauty,2,1,3
beautygirls,0,1,1
beaver,0,1,1
bebes,0,1,1
bebo,0,1,1
bebop,1,0,1
bec,1,0,1
became,0,4,4
because,53,38,91
becca,0,1,1
bech,0,1,1
becher,1,0,1
beckett,0,1,1
beckinsale,0,1,1
becky,1,0,1
become,4,6,10
becomin,1,0,1
becoming,1,2,3
becuase,0,1,1
becuz,0,1,1
bed,31,102,133
bedbound,1,0,1
bedbugs,0,1,1
bedrest,1,0,1
bedroom,3,2,5
beds,0,1,1
bedtime,0,6,6
beeb,0,1,1
beeeeeeeyatch,0,1,1
beef,0,1,1
beejive,1,0,1
been,131,79,210
beer,5,11,16
beers,0,1,1
bees,0,1,1
beets,0,1,1
beezie,1,0,1
before,44,41,85
beforehand,0,1,1
began,0,1,1
begginers,0,1,1
begging,1,1,2
begin,3,4,7
beginning,6,4,10
begins,1,1,2
begun,1,1,2
behave,1,1,2
behaved,0,2,2
behaves,0,1,1
behind,7,3,10
bei,0,1,1
beiing,0,1,1
beijing,0,1,1
bein,1,0,1
being,51,40,91
bekuz,1,0,1
beleive,0,1,1
belfast,0,2,2
belgium,0,1,1
beliave,1,0,1
belief,1,1,2
believe,33,23,56
believed,2,0,2
believes,0,1,1
belize,1,0,1
bell,0,1,1
bella,3,0,3
bellaitalia,1,0,1
bellatoscana,1,0,1
belle,0,2,2
bellevue,1,0,1
bells,1,2,3
belly,2,0,2
belong,3,1,4
belongs,0,1,1
beloved,13,1,14
below,4,0,4
belt,3,2,5
belted,0,1,1
belum,0,1,1
belzcy,0,1,1
ben,2,1,3
bench,0,1,1
bend,3,2,5
benefits,1,0,1
benjamin,0,1,1
benson,1,0,1
benton,1,0,1
benwell,1,0,1
bergens,0,1,1
berkeley,1,0,1
berlin,0,5,5
bernanke,1,0,1
berner,0,1,1
berocca,0,2,2
berry,4,0,4
beside,2,0,2
besides,3,3,6
best,24,78,102
besterz,0,1,1
besterzz,0,2,2
bestftiend,0,1,1
bestie,4,3,7
besties,0,3,3
bet,6,14,20
beta,6,5,11
beter,0,1,1
beth,0,1,1
betrayed,1,0,1
bets,0,1,1
better,61,75,136
bettwen,0,1,1
betty,2,2,4
bettys,1,0,1
between,6,2,8
beuatiful,0,1,1
beyonce,0,4,4
beyond,5,2,7
bf,5,3,8
bfd,1,0,1
bff,1,1,2
bffe,1,0,1
bffl,0,2,2
bffs,0,1,1
bfs,1,0,1
bfst,1,0,1
bgluxurybandb,0,1,1
bgo,0,1,1
bgt,0,1,1
bhaha,0,1,1
bhi,1,1,2
bhs,0,1,1
bhutta,1,0,1
bi,0,1,1
bia,1,0,1
bias,0,1,1
bible,0,1,1
bid,2,0,2
bifflesss,1,0,1
big,39,53,92
biggar,1,0,1
bigger,3,0,3
biggest,1,2,3
bih,1,0,1
bijebus,0,1,1
bike,10,5,15
biker,0,1,1
bikes,0,1,1
bikini,0,1,1
bilingual,0,1,1
bilirubin,0,1,1
bill,9,3,12
billa,1,0,1
billabong,0,1,1
billie,0,1,1
billion,0,1,1
bills,2,1,3
billy,2,1,3
biltmore,0,1,1
bin,1,0,1
binding,1,0,1
bingo,1,0,1
bio,1,2,3
biology,1,2,3
bird,1,1,2
birdie,1,0,1
birds,3,2,5
birhtday,0,1,1
birmingham,1,0,1
birth,0,1,1
birthdaaaay,0,1,1
birthday,13,40,53
birthnight,0,1,1
bis,0,1,1
biscuits,1,2,3
bisexuality,0,1,1
bishop,0,1,1
bit,25,29,54
bitch,4,2,6
bitches,1,0,1
bitchin,1,0,1
bitchy,1,0,1
bite,2,2,4
bited,1,0,1
bites,2,1,3
bits,1,1,2
bitter,1,1,2
bix,0,1,1
biz,3,3,6
bizarre,0,1,1
bizarro,0,1,1
bj,1,0,1
bkethan,1,0,1
bla,1,0,1
blaaaaarg,1,0,1
blaaaah,1,0,1
blaaah,1,0,1
blache,1,0,1
black,12,9,21
blackberries,1,0,1
blackberry,5,9,14
blackberrys,1,0,1
blackout,1,0,1
blackpool,0,1,1
blacks,1,1,2
blah,3,2,5
blahh,1,1,2
blahhh,1,0,1
blahhhh,1,0,1
blairs,1,0,1
blakes,1,0,1
blame,2,5,7
blamed,0,1,1
blaming,1,0,1
blank,1,1,2
blankey,0,1,1
blankie,1,0,1
blanky,0,1,1
blast,1,1,2
blasting,0,2,2
blazing,0,1,1
bleached,1,0,1
bleaching,0,1,1
bleed,1,0,1
bleeder,1,0,1
bleeding,2,1,3
bleh,2,0,2
blehh,1,0,1
blend,1,1,2
blended,0,1,1
blender,1,0,1
blergh,1,0,1
bless,11,5,16
blessed,0,8,8
blessing,0,2,2
blessings,1,1,2
bletchley,0,1,1
bleurgh,1,0,1
blew,1,0,1
blib,0,3,3
blind,1,0,1
blindsighted,1,0,1
blink,2,4,6
blip,1,3,4
bliss,0,1,1
blissful,1,0,1
blistered,1,0,1
blisters,0,1,1
blizge,1,0,1
blizzard,1,0,1
blk,1,0,1
blo,1,0,1
bloated,1,0,1
bloc,1,0,1
block,2,1,3
blocked,3,0,3
blocking,1,0,1
blockles,0,1,1
blockout,1,0,1
blocks,0,1,1
blog,8,41,49
blogalicious,1,0,1
blogg,0,1,1
blogged,0,1,1
blogger,1,0,1
bloggers,0,1,1
blogging,0,1,1
blogher,1,0,1
blogs,1,2,3
blogspot,0,3,3
blonde,3,1,4
blondes,1,0,1
blood,9,1,10
bloodletting,0,1,1
bloodsucking,0,1,1
bloody,10,2,12
blossoms,0,1,1
blow,0,1,1
blowing,0,2,2
blowjob,0,2,2
blows,1,1,2
bloxxx,0,1,1
bludget,0,1,1
blue,9,6,15
bluelillys,0,1,1
blueprints,0,1,1
blues,1,0,1
bluff,0,1,1
blum,0,1,1
blunt,0,1,1
blur,2,1,3
blurb,0,1,1
blurry,0,1,1
blush,0,1,1
blushes,0,1,1
blustery,1,0,1
bm,1,1,2
bn,1,1,2
bni,0,1,1
bno,1,0,1
bo,0,3,3
boal,1,0,1
board,4,2,6
boarding,1,0,1
boards,1,0,1
boat,2,2,4
boater,1,0,1
bob,4,2,6
boba,1,0,1
bobo,0,1,1
bock,0,1,1
bode,2,0,2
bodies,0,1,1
body,8,7,15
bog,1,0,1
bohdi,0,1,1
boheme,0,1,1
boilin,1,0,1
boiz,0,1,1
bold,1,2,3
boleh,0,1,1
bom,2,1,3
bomb,2,0,2
bombarding,0,1,1
bombed,1,0,1
bomber,0,1,1
bombers,0,1,1
bombshell,1,0,1
bombshizzznizle,1,0,1
bon,0,1,1
bonding,1,1,2
bone,0,2,2
bones,0,1,1
bonjour,0,4,4
bonkers,1,0,1
bonnybridge,0,1,1
bonus,3,4,7
boo,24,4,28
boofs,1,0,1
booger,2,0,2
