,negative,positive,total
boogie,0,2,2
book,13,21,34
bookclub,0,1,1
booked,1,2,3
booking,1,2,3
bookings,0,1,1
bookmarks,1,0,1
bookpushers,1,0,1
books,4,12,16
bookshelves,0,1,1
boom,1,3,4
boon,1,0,1
booo,4,2,6
boooo,6,0,6
booooo,2,0,2
boooooo,1,1,2
booooooo,1,0,1
booooys,1,0,1
boost,0,1,1
booster,1,0,1
boot,1,2,3
bootcamp,1,0,1
booted,1,0,1
booth,0,1,1
booths,0,1,1
booting,0,1,1
boots,2,0,2
booze,0,1,1
borat,1,0,1
bord,1,0,1
bordam,1,0,1
border,0,1,1
borders,1,1,2
bored,34,14,48
boredd,1,1,2
boredddd,1,0,1
boredom,2,0,2
boredum,0,1,1
boring,16,12,28
born,2,2,4
borring,1,0,1
borrowed,1,0,1
borscht,0,1,1
boss,8,4,12
bosses,0,1,1
boston,1,1,2
bot,1,1,2
botb,0,1,1
both,16,17,33
bothell,0,1,1
bother,1,1,2
bothered,2,4,6
bothering,0,1,1
bothersome,1,0,1
bothwell,1,0,1
bots,2,0,2
bottle,6,4,10
bottles,1,3,4
bottom,3,0,3
bottoms,0,1,1
bought,8,16,24
boulot,1,0,1
bounce,1,1,2
bounced,1,0,1
bouncer,0,1,1
bounces,1,0,1
bound,1,2,3
boundaries,0,1,1
bout,9,11,20
boutique,1,0,1
boutr,0,1,1
bouts,1,0,1
boutta,1,0,1
bovvered,0,1,1
bow,3,1,4
bowen,0,1,1
bowie,0,2,2
bowl,3,1,4
bowling,0,2,2
bowls,1,1,2
bowser,0,1,1
box,7,7,14
boxers,2,0,2
boxes,1,2,3
boy,7,18,25
boyfrieeennd,0,1,1
boyfriend,10,7,17
boys,5,9,14
bpark,0,1,1
bpfurniture,1,0,1
bqe,1,0,1
bra,2,2,4
brace,1,0,1
bracelet,1,1,2
braces,3,0,3
bracknell,1,0,1
brad,3,1,4
bradie,0,1,1
brady,1,0,1
brag,1,0,1
braids,2,0,2
braille,0,1,1
brain,4,9,13
brainiac,0,1,1
brains,1,0,1
brainstorm,0,1,1
brand,1,5,6
branded,0,1,1
branding,0,1,1
brandminus,1,0,1
brandon,1,0,1
brandy,1,1,2
brandz,0,1,1
brap,0,3,3
brate,1,0,1
braunstein,0,1,1
brave,4,1,5
bravest,1,0,1
braxe,0,1,1
brazil,3,0,3
brb,0,2,2
bre,0,2,2
bread,1,1,2
break,19,17,36
breakage,1,0,1
breakfast,4,14,18
breakfasts,0,1,1
breaking,8,1,9
breakroom,1,0,1
breaks,6,1,7
breast,1,0,1
breath,1,1,2
breathalyzer,0,1,1
breathe,1,1,2
breathing,0,1,1
breaths,1,0,1
breed,0,1,1
breezy,1,1,2
bren,1,0,1
brenton,0,1,1
brereton,0,1,1
brewer,0,1,1
brewrat,1,0,1
brian,1,0,1
briana,1,0,1
bribe,1,1,2
bribery,0,1,1
brick,0,3,3
bride,0,1,1
bridge,4,1,5
brief,1,0,1
bright,3,7,10
brighten,0,1,1
brighter,1,1,2
brighton,1,1,2
brill,0,2,2
brilliance,0,1,1
brilliant,1,5,6
bring,11,20,31
brings,1,0,1
brinjal,1,0,1
brink,0,1,1
brisbane,0,1,1
brissa,0,1,1
bristol,1,0,1
british,1,1,2
britney,1,4,5
brits,0,1,1
brittany,2,0,2
brittbut,0,1,1
bro,3,12,15
broad,0,1,1
broadband,0,1,1
broadbands,0,1,1
broadcast,0,3,3
broadway,1,2,3
brock,0,1,1
broderick,0,1,1
brody,1,1,2
broke,21,6,27
brokedown,1,0,1
broken,31,5,36
brokeness,1,0,1
broker,0,1,1
brokn,1,0,1
brolly,0,1,1
bromances,0,1,1
bronchitis,1,0,1
brooke,1,0,1
brookes,0,1,1
brorsan,0,1,1
brother,7,4,11
brothers,2,1,3
brought,3,0,3
brown,1,6,7
brownie,2,1,3
brownies,2,0,2
browns,0,1,1
browse,1,0,1
browser,1,3,4
browsers,1,0,1
browsing,0,1,1
brr,0,1,1
brrr,0,1,1
brrrr,1,1,2
bruce,1,0,1
bruises,1,0,1
brum,1,0,1
brummies,0,1,1
bruno,1,0,1
brush,3,1,4
brussels,1,1,2
brutha,0,1,1
bruv,1,1,2
bruvaz,1,0,1
brydon,0,1,1
bryon,0,1,1
bryony,1,0,1
bs,0,1,1
bt,5,0,5
btb,0,1,1
btr,1,0,1
btw,7,21,28
bu,1,0,1
buaaaaa,1,0,1
bubba,1,1,2
bubble,1,3,4
bubbles,1,1,2
bubblewrap,1,0,1
bubbly,0,1,1
bucked,1,0,1
bucket,0,2,2
bud,2,1,3
buddha,0,1,1
buddies,2,3,5
buddy,8,6,14
budget,3,4,7
bueller,1,0,1
buenas,0,1,1
bueno,1,0,1
buenos,0,1,1
buffer,1,0,1
buffet,2,1,3
buffett,1,0,1
buffy,0,2,2
bug,3,3,6
bugatti,1,0,1
bugged,1,0,1
bugger,1,0,1
bugging,2,1,3
buggy,1,2,3
bugle,1,0,1
bugmum,0,1,1
bugs,6,1,7
buhok,0,1,1
buildabear,1,0,1
buildin,1,0,1
building,2,5,7
buildings,1,0,1
built,2,2,4
bulbs,1,0,1
bulging,1,0,1
bulgogi,1,0,1
bulimia,1,0,1
bulky,1,0,1
bull,0,2,2
bullcraps,1,0,1
bulldozed,1,0,1
bulletin,2,0,2
bullets,0,2,2
bullied,1,0,1
bulls,0,1,1
bullshit,3,0,3
bullshittery,0,1,1
bully,0,1,1
bullying,1,0,1
bum,4,0,4
bumblebee,1,0,1
bumblebeeee,1,0,1
bummed,12,1,13
bummer,12,0,12
bump,1,0,1
bumped,1,0,1
bumper,1,1,2
bumptop,0,2,2
bun,1,1,2
bunch,3,1,4
bunches,1,0,1
bundle,0,4,4
bunnies,0,1,1
bunny,3,2,5
bunnys,0,1,1
buns,1,3,4
burger,2,1,3
burgundy,0,1,1
buried,1,0,1
burkhardt,1,0,1
burlingame,0,1,1
burma,1,0,1
burn,6,3,9
burned,2,1,3
burning,5,0,5
burns,1,0,1
burnt,19,2,21
burrito,2,0,2
burritos,0,1,1
burst,0,1,1
bursts,0,1,1
burswood,0,1,1
burying,1,0,1
bus,6,4,10
buscemi,0,4,4
bused,0,1,1
buses,1,0,1
bush,0,5,5
bushel,0,1,1
busier,1,0,1
business,10,12,22
bussing,1,0,1
bust,1,0,1
busted,0,1,1
busting,0,1,1
busy,20,18,38
but,507,349,856
butch,2,0,2
butcher,0,2,2
butler,0,2,2
butt,4,1,5
butter,1,2,3
buttered,0,1,1
butterfinger,1,0,1
butterfly,2,1,3
butterflys,1,0,1
butting,0,1,1
button,3,5,8
buttons,0,1,1
buttonwood,1,0,1
buttt,1,0,1
butuh,1,0,1
buuren,0,1,1
buy,20,29,49
buying,5,2,7
buzz,1,0,1
buzzed,1,0,1
buzzing,0,1,1
buzzzzzzzzzzzzzz,1,0,1
bwoi,0,1,1
bxl,0,1,1
by,78,69,147
bye,13,10,23
byebye,1,0,1
byee,0,2,2
bypass,1,0,1
ca,3,2,5
caaannntt,1,0,1
cab,2,1,3
cabana,1,0,1
cabin,1,0,1
cabinet,1,0,1
cable,5,1,6
cables,1,0,1
cabrera,1,0,1
caca,0,1,1
cad,1,0,1
caf,0,1,1
cafe,0,4,4
cafeteria,1,1,2
caff,0,1,1
caffeinated,0,1,1
caffeine,0,2,2
cagas,1,0,1
cagcast,0,1,1
cage,0,1,1
caitlin,1,0,1
cake,5,9,14
cakes,1,1,2
cal,0,1,1
calendar,1,0,1
calender,1,0,1
calgary,0,2,2
calgel,1,0,1
cali,3,3,6
california,5,4,9
call,25,26,51
called,14,16,30
callin,0,1,1
calling,4,1,5
calll,1,0,1
calls,9,5,14
calm,0,3,3
calmed,0,1,1
calming,0,1,1
calories,0,1,1
cals,0,1,1
calves,1,0,1
calvin,1,0,1
calvins,0,1,1
calvy,1,0,1
cam,1,1,2
cambs,0,1,1
came,17,13,30
camera,10,1,11
cameron,1,0,1
camilla,0,1,1
camp,7,1,8
campaign,1,0,1
campaigning,1,0,1
campaigns,0,1,1
camping,0,1,1
camps,1,0,1
campus,3,0,3
can,279,297,576
canada,4,4,8
canadian,2,2,4
canal,1,0,1
canary,0,1,1
cancel,6,0,6
cancelaram,1,0,1
canceled,7,0,7
cancellation,1,0,1
cancelled,10,0,10
cancer,74,0,74
cancun,2,0,2
candid,1,0,1
candidate,1,0,1
candles,0,1,1
candy,3,1,4
canned,1,0,1
canning,0,1,1
cannon,1,0,1
cannot,15,6,21
canon,1,1,2
canr,1,0,1
cans,1,0,1
cant,68,27,95
cantabile,0,1,1
canteen,0,2,2
cantonese,0,1,1
canucks,0,1,1
canvas,1,0,1
canvases,0,1,1
cao,0,1,1
capcom,1,0,1
capital,0,1,1
capones,0,1,1
cappuccino,1,0,1
cappuchino,0,1,1
caps,1,1,2
captain,1,1,2
captivity,1,0,1
capture,0,1,1
captured,1,0,1
car,46,16,62
caramel,2,1,3
caravan,0,1,1
carb,1,0,1
carboni,1,0,1
carbs,1,0,1
card,10,7,17
cardboard,1,0,1
cardi,1,0,1
cardiff,1,2,3
cardio,1,0,1
cards,3,3,6
care,17,15,32
career,0,1,1
careful,3,1,4
carefull,0,1,1
cares,2,1,3
caress,1,0,1
caring,0,1,1
carl,1,0,1
carli,0,1,1
carlos,0,1,1
carlton,0,1,1
carly,1,0,1
carn,1,0,1
carnival,1,1,2
caro,2,0,2
carolina,1,0,1
carolines,2,0,2
carpel,1,0,1
carpet,0,2,2
carpooling,0,1,1
carradine,3,0,3
carribean,1,0,1
carrie,0,1,1
carrot,0,1,1
carry,0,1,1
carrying,1,1,2
cars,2,6,8
carter,0,5,5
cartoon,0,1,1
cartoons,0,2,2
casablanca,0,1,1
casbah,1,0,1
case,0,6,6
cases,1,1,2
cash,2,3,5
cashless,1,0,1
casino,0,1,1
cask,0,1,1
casserole,0,1,1
cassette,0,1,1
cast,5,2,7
casting,0,1,1
castle,0,2,2
casual,0,2,2
cat,14,8,22
catalog,2,2,4
catalogue,0,1,1
catan,1,0,1
catastrophic,1,0,1
catch,3,9,12
catches,1,0,1
catching,3,9,12
catchy,0,1,1
catchya,0,1,1
cathedral,0,1,1
catie,1,0,1
cats,2,2,4
catskills,1,0,1
catstropy,1,0,1
catterick,0,1,1
cattle,2,1,3
caught,5,5,10
cause,22,14,36
caused,1,1,2
causes,0,1,1
causing,2,2,4
causr,1,0,1
cava,0,1,1
cave,2,2,4
caviste,0,1,1
cavs,4,0,4
cba,1,0,1
cbf,0,1,1
cbn,0,1,1
cc,1,0,1
cca,1,0,1
ccc,0,1,1
ccpt,1,0,1
ccsf,0,1,1
cd,3,8,11
ce,2,1,3
ced,0,1,1
ceebs,0,1,1
cel,0,1,1
celeb,3,1,4
celeberities,1,0,1
celebrate,1,3,4
celebrated,1,1,2
celebrating,0,3,3
celebrities,2,4,6
celebrity,1,0,1
celebs,1,2,3
celery,1,0,1
celiaelise,1,0,1
cell,3,3,6
cello,0,1,1
cellphone,1,0,1
cellphones,1,0,1
cells,1,0,1
cellular,1,0,1
cellulite,0,1,1
celly,1,0,1
celtics,1,0,1
cemetary,1,0,1
census,0,1,1
center,4,2,6
centered,0,1,1
central,3,0,3
centre,1,3,4
centrelink,0,1,1
centres,1,0,1
cept,1,1,2
cereal,2,2,4
cereallllllll,0,1,1
ceremonies,1,0,1
ceremony,1,0,1
cerritos,1,0,1
certain,1,3,4
certainly,3,8,11
cerveza,1,0,1
cesar,1,0,1
cet,1,0,1
ch,4,1,5
chad,1,0,1
chai,0,2,2
chained,1,0,1
chair,4,3,7
chairs,1,0,1
chakra,0,1,1
challenge,3,7,10
challenging,0,1,1
challens,0,1,1
chamber,1,0,1
chambers,0,1,1
chamisul,0,1,1
champ,0,3,3
champagne,0,1,1
champions,0,2,2
championship,2,2,4
champs,0,2,2
chan,0,1,1
chance,10,3,13
chances,0,1,1
chanel,0,1,1
change,15,12,27
changed,10,5,15
changes,3,3,6
changin,1,0,1
changing,2,4,6
channel,5,5,10
channels,3,0,3
chaos,0,1,1
chapel,0,3,3
chaplin,0,1,1
chapped,2,0,2
chaps,1,0,1
chapstick,2,2,4
chapter,3,1,4
chapters,1,1,2
character,1,3,4
characters,1,5,6
charades,1,0,1
charge,1,2,3
charger,2,0,2
chargin,1,0,1
charging,1,0,1
charismatic,0,1,1
charity,0,1,1
charlee,1,0,1
charles,1,1,2
charleys,1,0,1
charlie,35,2,37
charlies,4,0,4
charlotte,1,0,1
charlottenlund,1,0,1
charm,0,1,1
charming,0,2,2
charms,1,1,2
chart,0,2,2
charts,0,1,1
chase,0,1,1
chasing,0,1,1
chat,5,9,14
chateada,1,0,1
chatted,0,1,1
chattin,0,1,1
chatting,1,4,5
cheap,2,4,6
cheaper,1,1,2
cheapy,0,1,1
cheated,1,0,1
cheating,2,3,5
check,15,39,54
checked,5,2,7
checkin,1,1,2
checking,3,13,16
checkout,1,1,2
checks,1,0,1
cheeck,0,1,1
cheek,1,0,1
cheeks,0,1,1
cheeky,1,0,1
cheer,5,4,9
cheering,1,0,1
cheerios,1,0,1
cheers,4,23,27
cheese,4,7,11
cheesecake,2,1,3
cheesy,0,1,1
cheetos,1,0,1
cheez,0,1,1
chef,1,1,2
chekin,1,0,1
chelsea,0,3,3
chem,1,1,2
chemis,1,0,1
chemistry,1,0,1
chenna,1,0,1
chennai,0,1,1
cherish,0,1,1
cherrios,1,0,1
cherry,0,3,3
chese,0,1,1
chessington,0,1,1
chest,2,1,3
cheung,0,1,1
chevasia,1,0,1
chewed,1,0,1
chi,0,1,1
chicago,4,3,7
chichi,1,0,1
chick,1,1,2
chickeeeen,0,1,1
chicken,4,5,9
chickening,1,0,1
chickfila,1,0,1
chics,0,1,1
chidambaram,0,2,2
chief,0,1,1
chiefs,0,1,1
child,1,3,4
childhood,3,2,5
children,4,5,9
chile,1,0,1
chill,3,4,7
chilled,0,1,1
chilli,0,1,1
chillin,1,3,4
chilling,3,3,6
chills,0,2,2
chilly,1,2,3
china,0,5,5
chinese,1,4,5
chip,1,2,3
chipil,1,0,1
chipmunk,1,0,1
chipotle,1,0,1
chipped,3,0,3
chipper,0,1,1
chips,4,3,7
chiquitita,0,1,1
chiro,0,1,1
chiropractor,1,0,1
chirp,0,1,1
chirpy,0,1,1
chitate,1,0,1
chivalrous,0,1,1
chk,0,1,1
cho,1,1,2
chocolate,2,19,21
chocolates,0,1,1
choice,1,4,5
choices,1,1,2
chomp,1,0,1
chomped,0,1,1
choose,2,0,2
chop,0,1,1
chopped,0,1,1
chopsticks,0,1,1
chores,0,1,1
chorus,0,3,3
chose,0,1,1
chowmein,0,1,1
chriiiiiiiiiiiist,0,1,1
chris,3,8,11
chrisb,0,1,1
chrisfm,1,0,1
christ,1,0,1
christi,2,0,2
christina,1,0,1
christmas,2,1,3
chrome,1,1,2
chronicles,0,1,1
chrono,1,0,1
chu,1,0,1
chua,0,1,1
chubbx,0,1,1
chuck,3,6,9
chuckle,0,1,1
chucklin,0,1,1
chuffed,0,1,1
chuffin,1,0,1
chug,0,1,1
chumby,0,1,1
chung,2,0,2
chunks,1,0,1
chur,0,2,2
church,4,3,7
churches,0,1,1
churning,1,0,1
churro,0,1,1
chute,0,1,1
chutney,0,2,2
ci,1,0,1
ciao,0,2,2
ciaox,1,0,1
cici,1,1,2
cider,2,0,2
cig,1,0,1
cigar,0,1,1
cigarettes,1,1,2
cigna,1,0,1
cincy,1,0,1
cinderella,0,3,3
cinema,3,2,5
cinematic,0,1,1
cinnamon,1,0,1
circle,0,2,2
circles,2,0,2
circulating,1,0,1
cirvical,1,0,1
citizen,1,0,1
citizens,1,0,1
citrus,0,1,1
city,8,13,21
cj,0,1,1
claim,1,1,2
claimed,1,0,1
claiming,3,0,3
clam,0,1,1
clandestine,1,0,1
clap,1,0,1
clarification,0,1,1
clarified,0,1,1
clarity,0,1,1
claritylive,0,1,1
clark,2,0,2
clarkson,0,3,3
clasp,0,1,1
class,24,17,41
classes,5,5,10
classic,2,5,7
classical,0,1,1
classics,0,1,1
classmate,1,0,1
classroom,1,1,2
classrooms,1,1,2
classs,0,1,1
classy,4,1,5
claudia,0,1,1
clay,1,0,1
cld,0,2,2
cle,1,1,2
cleague,0,1,1
clean,10,11,21
cleaned,0,1,1
cleaner,0,1,1
cleaners,1,0,1
cleanin,0,1,1
cleaning,6,4,10
cleanse,0,1,1
cleanup,1,0,1
clear,1,4,5
cleared,0,2,2
clearer,2,0,2
clearing,2,0,2
clearly,2,2,4
cleveland,6,2,8
clever,0,1,1
click,4,4,8
clicking,2,1,3
clicks,1,0,1
client,2,8,10
clients,0,3,3
cliff,2,0,2
clignotant,1,0,1
climax,0,1,1
climb,0,4,4
climbed,1,0,1
climbing,0,1,1
clinic,1,0,1
clintooooon,1,0,1
clip,1,1,2
clipped,1,0,1
clips,1,2,3
clock,1,2,3
clogging,1,0,1
clogs,1,0,1
close,17,7,24
closed,2,2,4
closely,0,1,1
closer,2,5,7
closes,1,0,1
closest,2,0,2
closet,1,1,2
closing,1,0,1
clothes,4,5,9
clothing,0,1,1
cloud,0,3,3
cloudforce,0,1,1
clouds,4,3,7
cloudy,3,1,4
clough,1,0,1
clt,0,2,2
club,6,7,13
clubbing,1,0,1
clubzone,0,1,1
clue,1,0,1
clued,0,1,1
clues,0,1,1
clutching,1,0,1
cm,1,1,2
cmputr,0,1,1
cmt,1,0,1
cna,1,0,1
cnbc,1,0,1
cncl,1,0,1
cnn,4,0,4
cnt,1,1,2
co,2,5,7
coach,1,2,3
coachella,0,1,1
coaching,0,2,2
coal,0,1,1
coast,3,5,8
coat,1,1,2
coats,0,1,1
cobra,3,0,3
cobraaaa,1,0,1
cobwebby,1,0,1
coby,1,0,1
coca,0,1,1
cock,0,2,2
cockles,0,1,1
cockroach,1,0,1
cocktailour,1,0,1
cod,0,1,1
code,3,6,9
codeine,1,0,1
coder,0,1,1
codes,1,0,1
coding,1,1,2
cody,0,1,1
coffee,21,31,52
coffeeeeeee,0,1,1
cofffeeeeee,1,0,1
coincidence,0,1,1
coinciding,1,0,1
coke,0,4,4
cokehead,1,0,1
cola,0,1,1
colada,0,1,1
colbert,1,0,1
cold,26,17,43
coldest,0,1,1
coldplay,0,1,1
colds,1,0,1
cole,0,1,1
coles,0,1,1
collages,0,1,1
collars,1,0,1
colleague,0,3,3
colleagues,3,0,3
collect,1,2,3
collection,0,3,3
college,12,2,14
collegeau,0,1,1
colliding,0,1,1
collingwood,1,0,1
colon,1,0,1
color,3,3,6
coloreds,0,1,1
coloring,0,1,1
colour,0,1,1
colours,1,2,3
column,0,1,1
columns,0,1,1
com,18,51,69
combination,2,0,2
combo,0,3,3
comcast,0,1,1
comcastic,0,1,1
come,71,71,142
comedian,0,1,1
comedies,0,1,1
comedown,0,1,1
comedy,1,2,3
comee,1,0,1
comeee,1,0,1
comen,0,1,1
comeon,0,1,1
comes,12,13,25
comfort,1,1,2
comfortable,2,0,2
comfortably,0,2,2
comfy,2,1,3
comics,0,1,1
comin,4,0,4
coming,31,34,65
comm,0,1,1
commandments,0,1,1
commands,1,0,1
comment,3,21,24
commentators,0,1,1
commenting,0,1,1
comments,2,2,4
commerce,1,1,2
commercial,2,3,5
commercials,1,1,2
commiseration,0,1,1
commiserations,0,1,1
commission,1,0,1
commitment,1,0,1
committment,0,1,1
common,1,7,8
commonwealth,1,0,1
communal,0,1,1
communicate,0,2,2
communication,1,1,2
communique,0,1,1
community,1,6,7
commute,1,0,1
comp,4,1,5
company,6,17,23
comparing,1,0,1
comparison,0,1,1
compatibility,1,0,1
compete,1,0,1
competentcy,1,0,1
competing,0,1,1
competition,1,2,3
complain,1,2,3
complained,0,1,1
complaining,0,2,2
complaint,2,1,3
complekated,1,0,1
complete,4,3,7
completed,1,2,3
completely,7,6,13
completley,0,1,1
complex,2,0,2
compliment,1,1,2
complimentary,0,1,1
comply,1,0,1
compng,1,0,1
component,0,1,1
compton,1,0,1
computadora,0,1,1
computer,17,12,29
computers,1,1,2
comtuper,0,1,1
concentrate,1,1,2
concentration,1,0,1
concept,0,2,2
conceptual,1,0,1
conceptualize,0,1,1
concern,0,1,1
concerned,1,3,4
concert,12,4,16
concerts,1,0,1
conchords,0,1,1
concious,1,0,1
conclusion,0,1,1
concrete,1,0,1
condition,1,0,1
conditions,2,0,2
condo,0,1,1
condolences,6,0,6
condoms,0,1,1
conetticuttt,0,1,1
confed,1,0,1
conference,5,6,11
confess,0,1,1
confession,0,1,1
confessions,0,2,2
confident,0,1,1
confirm,1,0,1
confirmed,1,1,2
confirms,2,0,2
confuse,0,1,1
confused,6,2,8
congrat,0,1,1
congrats,0,20,20
congratulate,0,1,1
congratulates,0,1,1
congratulation,0,1,1
congratulations,0,8,8
congregation,0,1,1
conn,1,0,1
connect,2,1,3
connected,1,2,3
connecting,0,2,2
connection,8,2,10
connections,0,1,1
connfessions,0,1,1
conosco,0,1,1
conquer,0,1,1
conquered,0,1,1
conquering,0,1,1
conroy,0,1,1
consciousness,1,0,1
consequences,1,1,2
consider,1,2,3
considered,1,1,2
considering,2,3,5
consist,2,0,2
consistently,0,1,1
console,0,1,1
conspiracy,0,1,1
constant,1,1,2
constantine,0,1,1
constantly,2,0,2
constitutional,0,1,1
constructions,0,1,1
constructive,1,0,1
consultancy,0,1,1
consumers,0,1,1
consuming,0,1,1
contact,1,2,3
contacting,1,0,1
contacts,3,1,4
contains,1,0,1
content,0,7,7
contest,10,4,14
contestant,0,1,1
continue,1,4,5
continued,0,3,3
continues,0,1,1
contract,1,2,3
contractions,1,0,1
contractors,1,0,1
contracts,1,0,1
contrarian,0,1,1
contributors,0,1,1
control,3,0,3
controls,1,0,1
convenience,0,2,2
convenient,2,0,2
convention,1,0,1
convergence,1,1,2
conversate,0,1,1
conversation,1,4,5
conversations,0,2,2
converter,1,0,1
converting,0,1,1
converts,0,2,2
convey,0,1,1
convienence,1,0,1
convince,1,2,3
convinced,1,1,2
convincing,1,0,1
convo,0,2,2
convos,1,0,1
convulsions,1,0,1
cook,1,5,6
cooked,0,4,4
cookery,1,0,1
cookie,1,4,5
cookieex,0,1,1
cookies,4,8,12
cookin,0,1,1
cooking,5,3,8
cool,20,65,85
cooler,1,1,2
coolest,0,4,4
cooling,1,0,1
coolness,0,1,1
cools,0,1,1
cooool,0,1,1
cooperate,1,0,1
cooperation,0,1,1
cop,1,1,2
cope,1,1,2
copper,0,2,2
cops,2,0,2
copy,3,4,7
coraline,1,1,2
coran,1,0,1
core,2,3,5
corey,0,1,1
corinamarie,0,1,1
corn,1,1,2
cornelius,1,0,1
corner,0,1,1
cornettos,1,0,1
cornwall,2,0,2
corny,0,1,1
coronation,0,1,1
corporation,1,0,1
corpus,2,0,2
correct,2,2,4
corrected,0,1,1
correction,2,1,3
correctly,1,0,1
corrupt,0,1,1
corrupted,0,1,1
corse,0,1,1
corsets,0,2,2
cos,7,5,12
cosby,0,1,1
cost,2,0,2
costa,1,1,2
costume,2,1,3
cottage,2,1,3
cotton,3,0,3
couch,3,0,3
coucou,0,1,1
cough,3,1,4
coughing,1,0,1
could,95,57,152
coulda,3,0,3
couldn,27,7,34
couldnt,9,1,10
couldy,1,0,1
count,2,3,5
countdown,1,1,2
counted,0,2,2
counter,0,2,2
counters,1,0,1
counting,2,4,6
countless,0,1,1
countries,2,0,2
country,3,2,5
countryside,1,0,1
counts,0,4,4
county,1,0,1
couple,12,4,16
coupon,1,0,1
courage,0,2,2
courageous,3,0,3
couragous,1,0,1
courier,0,1,1
course,9,14,23
courses,0,1,1
coursework,1,0,1
court,4,0,4
courtney,2,1,3
courtroom,0,1,1
couscous,1,0,1
cousin,6,4,10
cousins,2,1,3
cousre,1,0,1
couture,1,0,1
covenant,1,0,1
cover,2,6,8
covered,1,0,1
covers,1,0,1
cow,2,0,2
coward,0,1,1
cowboy,1,0,1
cowell,1,0,1
cowley,0,1,1
coworkers,0,1,1
cows,1,0,1
coz,4,2,6
cozy,0,1,1
cp,1,1,2
cpan,0,1,1
cpu,1,0,1
cr,1,0,1
craapppy,1,0,1
crabby,1,0,1
crack,1,4,5
cracked,2,1,3
cracking,0,1,1
cracks,2,1,3
craft,0,1,1
crafts,0,1,1
craic,0,1,1
craig,1,0,1
craigslist,1,0,1
crakle,0,1,1
cramps,2,0,2
crap,24,5,29
crapbday,1,0,1
crappy,8,2,10
crash,2,0,2
crashed,3,0,3
crashes,2,0,2
crashing,1,0,1
crashs,0,1,1
crates,0,1,1
crave,0,1,1
craving,5,5,10
cravings,1,1,2
cravng,1,0,1
